alt_name,short_name,inventory,reference_original,reference,seedSource,seedType
1217,1000960,F433,None,None,None,None
1094,1000908,F434,None,None,None,None
989,1000639,F435,None,None,None,None
1184,1000902,F436,None,None,None,None
1069,1000877,F437,None,None,None,None
1509,1000476,F438,None,None,None,None
1569,1000134,F439,None,None,None,None
990,1000640,F440,None,None,None,None
1187,1000912,F441,None,None,None,None
979,1000611,F442,None,None,None,None
1216,1000953,F443,None,None,None,None
1320,1000223,F444,None,None,None,None
1418,1000483,F445,None,None,None,None
1539,1000570,F446,None,None,None,None
1515,1000496,F447,None,None,None,None
1556,1000105,F448,None,None,None,None
1550,1000596,F449,None,None,None,None
1502,1000453,F450,None,None,None,None
1610,1000227,F451,None,None,None,None
1567,1000122,F452,None,None,None,None
1511,1000480,F453,None,None,None,None
1527,1000526,F454,None,None,None,None
1496,1000430,F455,None,None,None,None
1172,1000888,F456,None,None,None,None
1559,1000109,F457,None,None,None,None
1529,1000539,F458,None,None,None,None
1497,1000443,F459,None,None,None,None
981,1000614,F460,None,None,None,None
1210,1000948,F461,None,None,None,None
992,1000642,F462,None,None,None,None
1205,1000938,F463,None,None,None,None
1571,1000138,F464,None,None,None,None
1558,1000108,F465,None,None,None,None
987,1000635,F466,None,None,None,None
1493,1000424,F467,None,None,None,None
1300,1000191,F468,None,None,None,None
1243,1000993,F469,None,None,None,None
912,1000670,F470,None,None,None,None
1421,1000488,F471,None,None,None,None
1415,1000468,F472,None,None,None,None
1412,1000464,F473,None,None,None,None
1286,1000150,F474,None,None,None,None
1386,1000384,F475,None,None,None,None
1126,1000958,F476,None,None,None,None
1002,1000674,F477,None,None,None,None
1245,1000995,F478,None,None,None,None
1329,1000254,F479,None,None,None,None
1089,1000903,F480,None,None,None,None
773,1000838,F481,None,None,None,None
1305,1000204,F482,None,None,None,None
778,1000861,F483,None,None,None,None
1285,1000149,F484,None,None,None,None
1151,1000990,F485,None,None,None,None
1006,1000682,F486,None,None,None,None
1122,1000955,F487,None,None,None,None
1078,1000883,F488,None,None,None,None
1429,1000510,F489,None,None,None,None
1145,1000987,F490,None,None,None,None
1394,1000408,F491,None,None,None,None
1004,1000678,F492,None,None,None,None
1110,1000933,F493,None,None,None,None
764,1000809,F494,None,None,None,None
1093,1000907,F495,None,None,None,None
1422,1000490,F496,None,None,None,None
1402,1000434,F497,None,None,None,None
982,1000616,F498,None,None,None,None
1229,1000974,F499,None,None,None,None
1503,1000455,F500,None,None,None,None
1017,1000719,F501,None,None,None,None
1023,1000729,F502,None,None,None,None
878,1000878,F503,None,None,None,None
846,1000776,F504,None,None,None,None
1447,1000563,F505,None,None,None,None
845,1000774,F506,None,None,None,None
775,1000841,F507,None,None,None,None
1073,1000879,F508,None,None,None,None
1033,1000767,F509,None,None,None,None
1115,1000942,F510,None,None,None,None
870,1000855,F511,None,None,None,None
1005,1000680,F512,None,None,None,None
765,1000810,F513,None,None,None,None
1015,1000707,F514,None,None,None,None
1395,1000409,F515,None,None,None,None
1080,1000885,F516,None,None,None,None
1118,1000944,F517,None,None,None,None
843,1000770,F518,None,None,None,None
856,1000803,F519,None,None,None,None
1398,1000415,F520,None,None,None,None
859,1000821,F521,None,None,None,None
1144,1000982,F522,None,None,None,None
1032,1000751,F523,None,None,None,None
1410,1000461,F524,None,None,None,None
1120,1000946,F525,None,None,None,None
1074,1000880,F526,None,None,None,None
1124,1000957,F527,None,None,None,None
1130,1000967,F528,None,None,None,None
1007,1000684,F529,None,None,None,None
1473,1000369,F530,None,None,None,None
1435,1000532,F531,None,None,None,None
971,1000864,F532,None,None,None,None
995,1000655,F533,None,None,None,None
1218,1000961,F534,None,None,None,None
1020,1000724,F535,None,None,None,None
769,1000832,F536,None,None,None,None
1175,1000891,F537,None,None,None,None
1104,1000919,F538,None,None,None,None
779,1000863,F539,None,None,None,None
1107,1000930,F540,None,None,None,None
868,1000851,F541,None,None,None,None
1090,1000904,F542,None,None,None,None
871,1000857,F543,None,None,None,None
1095,1000909,F544,None,None,None,None
873,1000870,F545,None,None,None,None
1031,1000750,F546,None,None,None,None
892,1000624,F547,None,None,None,None
970,1000862,F548,None,None,None,None
906,1000664,F549,None,None,None,None
904,1000651,F550,None,None,None,None
997,1000657,F551,None,None,None,None
1190,1000914,F552,None,None,None,None
894,1000626,F553,None,None,None,None
966,1000840,F554,None,None,None,None
